Email;Nome;Regimes Especiais;Código da UC;Matricula
a200101@alunos.uminho.pt;Davi Xavier;;J301N1;1
a200102@alunos.uminho.pt;Melissa Lima;;J302N1;3
a200103@alunos.uminho.pt;Bruno Almeida;;J304N4;1
a200104@alunos.uminho.pt;Luís Fernandes;;J305N3;2
a200105@alunos.uminho.pt;Fernando Ribeiro;;J301N1;1
a200106@alunos.uminho.pt;Sofia Oliveira;;J302N1;5
a200107@alunos.uminho.pt;Matheus Andrade;;J304N4;2
a200108@alunos.uminho.pt;Tiago Costa;;J305N3;5
a200109@alunos.uminho.pt;Alice Fernandes;;J301N1;2
a200110@alunos.uminho.pt;Joana Barbosa;;J302N1;5
a200111@alunos.uminho.pt;Rodrigo Mendes;;J304N4;3
a200112@alunos.uminho.pt;Gustavo Torres;;J305N3;3
a200113@alunos.uminho.pt;Felipe Gomes;;J301N1;2
a200114@alunos.uminho.pt;Sérgio Almeida;;J302N1;2
a200115@alunos.uminho.pt;Marina Silva;;J304N4;1
a200116@alunos.uminho.pt;António Pereira;;J305N3;3
a200117@alunos.uminho.pt;Camila Nunes;;J301N1;4
